�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
0,2020/1/17,I-Mab ,IMAB,Jefferies/ CICC,14,14.75,12.75,-0.0893
1,2020/1/17,LIZHI ,LIZI,Credit Suisse/ Citigroup,11,11.03,11.63,0.0573
2,2020/1/17,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0
3,2020/1/17,Velocity Financial ,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13,13.85,13.51,0.0392
4,2020/1/24,Gores Holdings IV ,GHIVU,Deutsche Bank Securities,10,10.52,10.45,0.045
5,2020/1/24,SCVX Corp. ,SCVXU,Credit Suisse,10,10.3,10.32,0.032
6,2020/1/28,AnPac Bio-Medical Science ,ANPC,WestPark Capital,12,12,11.25,-0.0625
7,2020/1/29,Annovis Bio ,ANVS,ThinkEquity (a division of Fordham Financial Management ),6,6.63,9.59,0.5983
8,2020/1/29,Black Diamond Therapeutics ,BDTX,J.P. Morgan/ Jefferies/ Cowen,19,33,39.48,1.0779
9,2020/1/31,1Life Healthcare ,OWEM,J.P. Morgan/ Morgan Stanley,14,18,22.07,0.5764
10,2020/1/31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17,23.05,21.8,0.2824
11,2020/1/31,Reynolds Consumer Products ,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26,27.5,28.55,0.0981
12,2020/2/4,InterPrivate Acquisition ,IPV.U,EarlyBirdCapital,10,10.09,10.1,0.01
13,2020/2/6,Beam Therapeutics ,BEAM,J.P. Morgan/ Jefferies/ Barclays,17,24,18.75,0.1029
14,2020/2/6,Casper Sleep ,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12,14.5,13.5,0.125
15,2020/2/6,PPD ,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27,31,30,0.1111
16,2020/2/6,Schrodinger ,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17,26,28.64,0.6847
17,2020/2/7,NexPoint Real Estate Finance ,NREF,Raymond James,19,16,18.8,-0.0105
18,2020/2/7,OneWater Marine ,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12,15.02,15.14,0.2617
19,2020/2/7,Professional Holding ,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",18.5,19.31,19.55,0.0568
20,2020/2/11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10,10.26,10.2,0.02
21,2020/2/11,Greenrose Acquisition ,GNRSU,Imperial Capital,10,10.02,10.07,0.007
22,2020/2/12,Huize Holding Ltd. ,HUIZ,Citigroup/ CICC,10.5,10.62,10,-0.0476
23,2020/2/13,Yunhong International ,ZGYHU,Maxim Group LLC,10,10.01,10,0
24,2020/2/13,Muscle Maker ,GRIL,Alexander Capital,5,4.7,3.86,-0.228
25,2020/2/13,Revolution Medicines ,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17,28.21,28.9,0.7
26,2020/2/14,Churchill Capital Corp. III ,CCXX.U,Citigroup/ Goldman Sachs,10,10.58,10.51,0.051
27,2020/2/14,Newborn Acquisition ,NBACU,Chardan,10,10.02,10.05,0.005
28,2020/2/20,East Stone Acquisition ,ESSCU,I-Bankers Securities,10,10.05,10.01,0.001
29,2020/2/21,dMY Technology Group ,DMYT.U,Goldman Sachs/ UBS Investment Bank,10,10.31,10.34,0.034
30,2020/2/24,ZHONGCHAO ,ZCMD,Network 1 Financial Securities,4,4.34,4,0
31,2020/2/28,Passage BIO ,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18,22.27,22.2,0.2333
32,2020/3/3,GFL Environmental Holdings,GFL,JPMorgan/ BMO Capital Markets/ Goldman Sachs/ RBC Capital Markets/ Scotiabank,19,17.5,16.8,-0.1158
33,2020/3/6,Flying Eagle Acquisition,FEAC.U,Goldman Sachs/ DNB Markets,10,10.45,10.4,0.04
34,2020/3/6,LifeSci Acquisition,LSACU,Chardan,10,10.1,10.25,0.025
35,2020/3/11,DFP Healthcare Acquisitions ,DFPHU,Deutsche Bank Securities,10,10.18,10.2,0.02
36,2020/3/12,IMARA ,IMRA,Morgan Stanley/ Citigroup/ SVB Leerink,16,14,15,-0.0625
37,2020/4/1,WiMi Hologram Cloud ,WIMI,Benchmark Company/ Maxim Group/ China Merchants Securities (HK)/ AMTD Global Markets,5.5,6,5.5,0
38,2020/4/3,Zentalis Pharmaceuticals ,ZNTL,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities ,18,25.2,23.2,0.2889
39,2020/4/8,Keros Therapeutics ,KROS,Jefferies/ SVB Leerink/ Piper Sandler,16,20.85,20.08,0.255
40,2020/4/22,Social Capital Hedosophia Holdings Corp. III,IPOC.U,Credit Suisse,10,10.08,10.07,0.007
41,2020/4/24,CC Neuberger Principal Holdings I ,PCPL.U,Goldman Sachs/ BofA Securities,10,10.05,10.06,0.006
42,2020/4/24,Chardan Healthcare Acquisition 2 ,CHAQ.U,Chardan,10,10,9.98,-0.002
43,2020/4/24,ORIC Pharmaceuticals ,ORIC,J.P. Morgan/ Citigroup/ Jefferies/ Guggenheim Securities,16,26,25.77,0.6106
44,2020/4/28,Social Capital Hedosophia Holdings Corp. II ,IPOB.U,Credit Suisse,10,10.15,10.12,0.012
45,2020/4/30,Fortress Value Acquisition (FVAC.U) (u),FVAC.U,Deutsche Bank Securities,10,10.05,10.06,0.006
46,2020/5/1,Collective Growth ,CGROU,Cantor,10,10,9.96,-0.004
47,2020/5/1,Lyra Therapeutics ,LYRA,BofA Securities/ Jefferies/ William Blair,16,21,18.56,0.16
